Source	Target	Description	Adicional
28019	28020	"28020"	"Jesus não o permitiu, mas disse: Vá para casa, para a sua família e anuncie-lhes quanto o Senhor fez por você e como teve misericórdia de você."
28020	28021	"28021"	"Então, aquele homem se foi e começou a anunciar em Decápolis quanto Jesus tinha feito por ele."
28021	28022	"28022"	"Todos ficavam admirados."
00000	38000	"38000"	"Navegaram para a região dos gerasenos que fica do outro lado do lago, frente à Galiléia."
38000	38001	"38001"	"Quando Jesus pisou em terra, foi ao encontro dele um endemoninhado daquela cidade."
38001	38002	"38002"	"Fazia muito tempo que aquele homem não usava roupas, nem vivia em casa alguma, mas nos sepulcros."
38002	09003	"09003"	"Quando ele viu Jesus de longe, correu e prostrou-se diante dele, e gritou em alta voz: Que queres comigo, Jesus, Filho do Deus Altíssimo?"
09003	09004	"09004"	"Rogo-te por Deus que não me atormentes!"
09004	09005	"09005"	"Pois Jesus havia ordenado que o espírito imundo saísse daquele homem."
09005	38006	"38006"	"Muitas vezes ele tinha se apoderado dele."
38006	38007	"38007"	"Mesmo com os pés e as mãos acorrentados e entregue aos cuidados de guardas, quebrava as correntes, e era levado pelo demônio a lugares solitários."
38007	09006	"09006"	"Então Jesus lhe perguntou: Qual é o seu nome?"
09006	38009	"38009"	"Legião, respondeu ele; porque muitos demônios haviam entrado nele."
38009	38010	"38010"	"E imploravam-lhe que não os mandasse para o abismo."
38010	09007	"09007"	"Uma grande manada de porcos estava pastando numa colina próxima."
09007	38012	"38012"	"Os demônios imploraram a Jesus que lhes permitisse entrar neles, e Jesus lhes deu permissão."
38012	38013	"38013"	"Saindo do homem, os demônios entraram nos porcos, e toda a manada atirou-se precipício abaixo em direção ao lago e se afogou."
38013	09008	"09008"	"Vendo o que acontecera, os que cuidavam dos porcos fugiram e contaram esses fatos, na cidade e nos campos, e o povo foi ver o que havia acontecido."
09008	09009	"09009"	"Quando se aproximaram de Jesus, viram que o homem de quem haviam saído os demônios estava assentado aos pés de Jesus, vestido e em perfeito juízo, e ficaram com medo."
09009	38016	"38016"	"Os que o tinham visto contaram ao povo como o endemoninhado fora curado."
38016	38017	"38017"	"Então, todo o povo da região dos gerasenos suplicou a Jesus que se retirasse, porque estavam dominados pelo medo."
38017	38018	"38018"	"Ele entrou no barco e regressou."
38018	38019	"38019"	"O homem de quem haviam saído os demônios suplicava-lhe que o deixasse ir com ele; mas Jesus o mandou embora, dizendo: Volte para casa e conte o quanto Deus lhe fez."
38019	38020	"38020"	"Assim, o homem se foi e anunciou a toda a cidade o quanto Jesus tinha feito por ele."
