textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Comfort, oh comfort My people,<br>Says your God.","Uma voz ordena: ""Clame"". E eu pergunto: ""O que clamarei? "" ""Que toda a humanidade é como a relva, e toda a sua glória como as flores do campo.",,Is,40,6
"“Who can believe what we have heard?<br>Upon whom has <sup class=""footnote-marker"">a</sup><i class=""footnote"">I.e., the vindication which the arm of the Lord effects.</i>the arm of the L<small>ORD</small>-<sup class=""endFootnote"">-a</sup> been revealed?","Foi-lhe dado um túmulo com os ímpios, e com os ricos em sua morte, embora não tivesse cometido qualquer violência nem houvesse qualquer mentira em sua boca.",,Is,53,9
" <a href=""/topics/the-tetragrammaton"" class=""namedEntityLink"" data-slug=""the-tetragrammaton"">יהוה</a> spoke to Moses, saying:","Pois a vida da carne está no sangue, e eu o dei a vocês para fazerem propiciação por si mesmos no altar; é o sangue que faz propiciação pela vida.",,Lv,17,11
" <a href=""/topics/the-tetragrammaton"" class=""namedEntityLink"" data-slug=""the-tetragrammaton"">יהוה</a> spoke to Moses, saying:","Não tragam nenhum animal defeituoso, porque não será aceito em favor de vocês.",,Lv,22,20
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
The word of the L<small>ORD</small> came to me:,"Assim como o pastor busca as ovelhas dispersas quando está cuidando do rebanho, também tomarei conta de minhas ovelhas. Eu as resgatarei de todos os lugares para onde foram dispersas num dia de nuvens e de trevas.",,Ez,34,12
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"But now thus said the L<small>ORD</small>—<br>Who created you, O Jacob,<br>Who formed you, O Israel:<br>Fear not, for I will redeem you;<br>I have singled you out by name,<br>You are Mine.","ao povo que formei para mim mesmo a fim de que proclamasse o meu louvor"".",,Is,43,21
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
The word of the L<small>ORD</small> came to me:,"Juro pela minha vida, palavra do Soberano Senhor, que visto que o meu rebanho ficou sem pastor, foi saqueado e se tornou comida de todos os animais selvagens, e uma vez que os meus pastores não se preocuparam com o meu rebanho, mas cuidaram de si mesmos em vez de cuidarem do rebanho,",,Ez,34,8
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"The L<small>ORD</small> said to me, “Get yourself a large sheet and write on it <sup class=""footnote-marker"">a</sup><i class=""footnote"">Meaning of Heb. uncertain.</i>in common script<sup class=""endFootnote"">-a</sup> ‘For Maher-shalal-hash-baz’;<sup class=""footnote-marker"">b</sup><i class=""footnote"">I.e., “Pillage hastens, looting speeds,” indicating that two cities are to be pillaged at an early date; see v. 4.</i>","Para os dois reinos de Israel ele será um santuário, mas também uma pedra de tropeço, uma rocha que faz cair. E para os habitantes de Jerusalém ele será uma armadilha e um laço.",,Is,8,14
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"A <i>michtam</i><sup class=""footnote-marker"">a</sup><i class=""footnote"">Meaning of Heb. uncertain.</i> of David.<br><br>Protect me, O God, for I seek refuge in You.","Por isso o meu coração se alegra e no íntimo exulto; mesmo o meu corpo repousará tranqüilo,",,Sl,16,9
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"<sup class=""footnote-marker"">a</sup><i class=""footnote"">Clauses transposed for clarity.</i>The L<small>ORD</small>, enthroned on cherubim, is king,<br>peoples tremble, the earth quakes.<sup class=""endFootnote"">-a</sup>","Exaltem o Senhor, o nosso Deus, prostrem-se diante do estrado dos seus pés. Ele é santo!",,Sl,99,5
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Of David, <sup class=""footnote-marker"">a</sup><i class=""footnote"">Cf. <a class =""refLink"" href=""/I_Samuel.21.14"" data-ref=""I Samuel 21:14"">1 Sam. 21.14</a> ff.</i>when he feigned madness in the presence of Abimelech, who turned him out, and he left.<sup class=""endFootnote"">-a</sup><br>","o rosto do Senhor volta-se contra os que praticam o mal, para apagar da terra a memória deles.",,Sl,34,16
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
The word of the L<small>ORD</small> came to me:,"Tomarei conta delas numa boa pastagem, e os altos dos montes de Israel serão a terra onde pastarão; ali se alimentarão num rico pasto nos montes de Israel.",,Ez,34,14
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
For the leader; with instrumental music. A <i>maskil</i> of David.<br>,"Mas tu, ó Deus, farás descer à cova da destruição aqueles assassinos e traidores, os quais não viverão a metade dos seus dias. Quanto a mim, porém, confio em ti.",,Sl,55,23
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"False scales are an abomination to the L<small>ORD</small>;<br>An honest<sup class=""footnote-marker"">a</sup><i class=""footnote"">Lit. “whole.”</i> weight pleases Him.","Se os justos recebem a punição que merecem na terra, quanto mais o ímpio e o pecador!",,Pv,11,31
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"I am disgusted with life;<br>I will give rein to my complaint,<br>Speak in the bitterness of my soul.","Deste-me vida e foste bondoso para comigo, e na tua providência cuidaste do meu espírito.",,Jó,10,12
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
The word of the L<small>ORD</small> came to me:,"Assim diz o Soberano Senhor: Estou contra os pastores e os considerarei responsáveis pelo meu rebanho. Eu lhes tirarei a função de apascentar o rebanho para que os pastores não mais se alimentem a si mesmos. Livrarei o meu rebanho da boca deles, e ele não lhes servirá mais de comida.",,Ez,34,10
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Behold, I am sending My messenger to clear the way before Me, and the Lord whom you seek shall come to His Temple suddenly. As for the angel of the covenant<sup class=""footnote-marker"">a</sup><i class=""footnote"">Apparently the messenger of the previous sentence is regarded as Israel’s tutelary angel.</i> that you desire, he is already coming.","""No dia em que eu agir"", diz o Senhor dos Exércitos, ""eles serão o meu tesouro pessoal. Eu terei compaixão deles como um pai tem compaixão do filho que lhe obedece.",,Ml,3,17
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Of David, <sup class=""footnote-marker"">a</sup><i class=""footnote"">Cf. <a class =""refLink"" href=""/I_Samuel.21.14"" data-ref=""I Samuel 21:14"">1 Sam. 21.14</a> ff.</i>when he feigned madness in the presence of Abimelech, who turned him out, and he left.<sup class=""endFootnote"">-a</sup><br>","Temam o Senhor, vocês que são os seus santos, pois nada falta aos que o temem.",,Sl,34,9
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
The word of the L<small>ORD</small> came to me:,Vocês não fortaleceram a fraca nem curaram a doente nem enfaixaram a ferida. Vocês não trouxeram de volta as desviadas nem procuraram as perdidas. Vocês têm dominado sobre elas com dureza e brutalidade.,,Ez,34,4
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Thus the L<small>ORD</small> said to me: “Go buy yourself a loincloth of linen, and put it around your loins, but do not dip it into water.”","Mas, se vocês não ouvirem, eu chorarei em segredo por causa do orgulho de vocês. Chorarei amargamente, e de lágrimas os meus olhos transbordarão, porque o rebanho do Senhor foi levado para o cativeiro.",,Jr,13,17
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"My son, do not forget my teaching,<br>But let your mind retain my commandments;","Ele zomba dos zombadores, mas concede graça aos humildes.",,Pv,3,34
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"“Who can believe what we have heard?<br>Upon whom has <sup class=""footnote-marker"">a</sup><i class=""footnote"">I.e., the vindication which the arm of the Lord effects.</i>the arm of the L<small>ORD</small>-<sup class=""endFootnote"">-a</sup> been revealed?","Certamente ele tomou sobre si as nossas enfermidades e sobre si levou as nossas doenças, contudo nós o consideramos castigado por Deus, por ele atingido e afligido.",,Is,53,4
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"These are the names of the sons of Israel who came to Egypt with Jacob, each coming with his household:","Estabeleceram, pois, sobre eles chefes de trabalhos forçados, para os oprimir com tarefas pesadas. E assim os israelitas construíram para o faraó as cidades-celeiros de Pitom e Ramessés.",,Ex,1,11
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Comfort, oh comfort My people,<br>Says your God.","A relva murcha e cai a sua flor, quando o vento do Senhor sopra sobre eles; o povo não passa de relva.",,Is,40,7
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"“Who can believe what we have heard?<br>Upon whom has <sup class=""footnote-marker"">a</sup><i class=""footnote"">I.e., the vindication which the arm of the Lord effects.</i>the arm of the L<small>ORD</small>-<sup class=""endFootnote"">-a</sup> been revealed?","Mas ele foi transpassado por causa das nossas transgressões, foi esmagado por causa de nossas iniqüidades; o castigo que nos trouxe paz estava sobre ele, e pelas suas feridas fomos curados.",,Is,53,5
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"“Who can believe what we have heard?<br>Upon whom has <sup class=""footnote-marker"">a</sup><i class=""footnote"">I.e., the vindication which the arm of the Lord effects.</i>the arm of the L<small>ORD</small>-<sup class=""endFootnote"">-a</sup> been revealed?","Todos nós, tal qual ovelhas, nos desviamos, cada um de nós se voltou para o seu próprio caminho; e o Senhor fez cair sobre ele a iniqüidade de todos nós.",,Is,53,6
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
The word of the L<small>ORD</small> came to me:,"Vocês comem a coalhada, vestem-se de lã e abatem os melhores animais, mas não tomam conta do rebanho.",,Ez,34,3
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
The proverbs of Solomon:<br><br>A wise son brings joy to his father;<br>A dull son is his mother’s sorrow.,"O ódio provoca dissensão, mas o amor cobre todos os pecados.",,Pv,10,12
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Ah, the proud crowns of the drunkards of Ephraim,<br>Whose glorious beauty is but wilted flowers<br>On the heads of men bloated<sup class=""footnote-marker"">a</sup><i class=""footnote"">Ge is contracted from ge’e; cf. Ibn Ezra.</i> with rich food,<br>Who are overcome by wine!<br>","Por isso diz o Soberano Senhor: ""Eis que ponho em Sião uma pedra, uma pedra já experimentada, uma preciosa pedra angular para alicerce seguro; aquele que confia, jamais será abalado.",,Is,28,16
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
יהוה said to Moses and Aaron in the land of Egypt:,"O animal escolhido será macho de um ano, sem defeito, e pode ser cordeiro ou cabrito.",,Ex,12,5
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"“Who can believe what we have heard?<br>Upon whom has <sup class=""footnote-marker"">a</sup><i class=""footnote"">I.e., the vindication which the arm of the Lord effects.</i>the arm of the L<small>ORD</small>-<sup class=""endFootnote"">-a</sup> been revealed?","Ele foi oprimido e afligido, contudo não abriu a sua boca; como um cordeiro foi levado para o matadouro, e como uma ovelha que diante de seus tosquiadores fica calada, ele não abriu a sua boca.",,Is,53,7
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Comfort, oh comfort My people,<br>Says your God.","Uma voz ordena: ""Clame"". E eu pergunto: ""O que clamarei? "" ""Que toda a humanidade é como a relva, e toda a sua glória como as flores do campo.",,Is,40,6
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"If, in the land that your God <a href=""/topics/the-tetragrammaton"" class=""namedEntityLink"" data-slug=""the-tetragrammaton"">יהוה</a> is assigning you to possess, someone slain is found lying in the open, the identity of the slayer not being known,","não deixem o corpo no madeiro durante a noite. Enterrem-no naquele mesmo dia, porque qualquer que for pendurado num madeiro está debaixo da maldição de Deus. Não contaminem a terra que o Senhor, o seu Deus, lhes dá por herança.",,Dt,21,23
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"This is My servant, whom I uphold,<br>My chosen one, in whom I delight.<br>I have put My spirit upon him,<br>He shall teach the true way to the nations.","""Eis o meu servo, a quem sustento, o meu escolhido, em quem tenho prazer. Porei nele o meu Espírito, e ele trará justiça às nações.",,Is,42,1
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Awake, awake, O Zion!<br>Clothe yourself in splendor;<br>Put on your robes of majesty,<br>Jerusalem, holy city!<br>For the uncircumcised and the unclean<br>Shall never enter you again.","de igual modo ele aspergirá muitas nações, e reis calarão a boca por causa dele. Pois aquilo que não lhes foi dito verão, e o que não ouviram compreenderão.",,Is,52,15
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
" <a href=""/topics/the-tetragrammaton"" class=""namedEntityLink"" data-slug=""the-tetragrammaton"">יהוה</a> spoke to Moses, saying:","Não tragam nenhum animal defeituoso, porque não será aceito em favor de vocês.",,Lv,22,20
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
יהוה said to Moses and Aaron in the land of Egypt:,"Então Moisés convocou todas as autoridades de Israel e lhes disse: ""Escolham um cordeiro ou um cabrito para cada família. Sacrifiquem-no para celebrar a Páscoa!",,Ex,12,21
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"In the second year of the reign of Nebuchadnezzar, Nebuchadnezzar had a dream; his spirit was agitated, <sup class=""footnote-marker"">a</sup><i class=""footnote"">Meaning of Heb. uncertain; others “and he could not.”</i>yet he was overcome by<sup class=""endFootnote"">-a</sup> sleep.","Então o ferro, o barro, o bronze, a prata e o ouro foram despedaçados, viraram pó, como o pó da debulha do trigo na eira durante o verão. O vento os levou sem deixar vestígio. Mas a pedra que atingiu a estátua tornou-se uma montanha e encheu a terra toda.",,Dn,2,35
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
The word of the L<small>ORD</small> came to me:,"Eu mesmo tomarei conta das minhas ovelhas e as farei deitar-se, palavra do Soberano Senhor.",,Ez,34,15
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
A song of ascents. Of David.<br><br>How good and how pleasant it is<br>that brothers dwell together.,Como é bom e agradável quando os irmãos convivem em união!,,Sl,133,1
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
The word of the L<small>ORD</small> came to me:,"Procurarei as perdidas e trarei de volta as desviadas. Enfaixarei a ferida e fortalecerei a fraca, mas a rebelde e forte, eu a destruirei. Apascentarei o rebanho com justiça.",,Ez,34,16
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"A <i>michtam</i><sup class=""footnote-marker"">a</sup><i class=""footnote"">Meaning of Heb. uncertain.</i> of David.<br><br>Protect me, O God, for I seek refuge in You.","porque tu não me abandonarás no sepulcro, nem permitirás que o teu santo sofra decomposição.",,Sl,16,10
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"This is My servant, whom I uphold,<br>My chosen one, in whom I delight.<br>I have put My spirit upon him,<br>He shall teach the true way to the nations.",Dêem glória ao Senhor e nas ilhas proclamem seu louvor.,,Is,42,12
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"“Who can believe what we have heard?<br>Upon whom has <sup class=""footnote-marker"">a</sup><i class=""footnote"">I.e., the vindication which the arm of the Lord effects.</i>the arm of the L<small>ORD</small>-<sup class=""endFootnote"">-a</sup> been revealed?",Com julgamento opressivo ele foi levado. E quem pode falar dos seus descendentes? Pois ele foi eliminado da terra dos viventes; por causa da transgressão do meu povo ele foi golpeado.,,Is,53,8
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Of David, <sup class=""footnote-marker"">a</sup><i class=""footnote"">Cf. <a class =""refLink"" href=""/I_Samuel.21.14"" data-ref=""I Samuel 21:14"">1 Sam. 21.14</a> ff.</i>when he feigned madness in the presence of Abimelech, who turned him out, and he left.<sup class=""endFootnote"">-a</sup><br>",Guarde a sua língua do mal e os seus lábios da falsidade.,,Sl,34,13
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Comfort, oh comfort My people,<br>Says your God.","A relva murcha, e as flores caem, mas a palavra de nosso Deus permanece para sempre. """,,Is,40,8
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"“Who can believe what we have heard?<br>Upon whom has <sup class=""footnote-marker"">a</sup><i class=""footnote"">I.e., the vindication which the arm of the Lord effects.</i>the arm of the L<small>ORD</small>-<sup class=""endFootnote"">-a</sup> been revealed?","Foi desprezado e rejeitado pelos homens, um homem de tristeza e familiarizado com o sofrimento. Como alguém de quem os homens escondem o rosto, foi desprezado, e nós não o tínhamos em estima.",,Is,53,3
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Ha!<br>Those who write out evil writs<br>And compose iniquitous documents,","Que farão vocês no dia do castigo, quando a destruição vier de um lugar distante? Atrás de quem vocês correrão em busca de ajuda? Onde deixarão todas as suas riquezas?",,Is,10,3
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
The word of the L<small>ORD</small> came to me:,"""Filho do homem, profetize contra os pastores de Israel; profetize e diga-lhes: ‘Assim diz o Soberano Senhor: Ai dos pastores de Israel que só cuidam de si mesmos! Acaso os pastores não deveriam cuidar do rebanho?",,Ez,34,2
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
The word of the L<small>ORD</small> came to me:,""" ‘Porque assim diz o Soberano Senhor: Eu mesmo buscarei as minhas ovelhas e delas cuidarei.",,Ez,34,11
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"But now thus said the L<small>ORD</small>—<br>Who created you, O Jacob,<br>Who formed you, O Israel:<br>Fear not, for I will redeem you;<br>I have singled you out by name,<br>You are Mine.","Os animais do campo me honrarão, os chacais e as corujas, porque fornecerei água no deserto e riachos no ermo, para dar de beber a meu povo, meu escolhido,",,Is,43,20
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Comfort, oh comfort My people,<br>Says your God.","Você, que traz boas novas a Sião, suba num alto monte. Você, que traz boas novas a Jerusalém, erga a sua voz com fortes gritos, erga-a, não tenha medo; diga às cidades de Judá: ""Aqui está o seu Deus! """,,Is,40,9
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Then [God] said to Moses, “Come up to <a href=""/topics/the-tetragrammaton"" class=""namedEntityLink"" data-slug=""the-tetragrammaton"">יהוה</a>, with Aaron, Nadab and Abihu, and seventy elders of Israel, and bow low from afar.","Em seguida, leu o Livro da Aliança para o povo, e eles disseram: ""Faremos fielmente tudo o que o Senhor ordenou"".",,Ex,24,7
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
The word of the L<small>ORD</small> came to me:,"As minhas ovelhas vaguearam por todos os montes e por todas as altas colinas. Elas foram dispersas por toda a terra, e ninguém se preocupou com elas nem as procurou.",,Ez,34,6
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Of David, <sup class=""footnote-marker"">a</sup><i class=""footnote"">Cf. <a class =""refLink"" href=""/I_Samuel.21.14"" data-ref=""I Samuel 21:14"">1 Sam. 21.14</a> ff.</i>when he feigned madness in the presence of Abimelech, who turned him out, and he left.<sup class=""endFootnote"">-a</sup><br>",Afaste-se do mal e faça o bem; busque a paz com perseverança.,,Sl,34,14
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"<a href=""/topics/the-tetragrammaton"" class=""namedEntityLink"" data-slug=""the-tetragrammaton"">יהוה</a> appeared<sup class=""footnote-marker"">*</sup><i class=""footnote""><b>appeared </b>Or “initiated communication (with); made contact (with)”—without indicating a visual experience—as in 12.7; 17.1; 26.2, 24; 35.9–10; 48.3–4; and seven passages elsewhere in the Bible.</i> to him by the terebinths of Mamre; he was sitting at the entrance of the tent as the day grew hot.","Por isso riu consigo mesma, quando pensou: ""Depois de já estar velha e meu senhor já idoso, ainda terei esse prazer? """,,Gn,18,12
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Of David, <sup class=""footnote-marker"">a</sup><i class=""footnote"">Cf. <a class =""refLink"" href=""/I_Samuel.21.14"" data-ref=""I Samuel 21:14"">1 Sam. 21.14</a> ff.</i>when he feigned madness in the presence of Abimelech, who turned him out, and he left.<sup class=""endFootnote"">-a</sup><br>",Os olhos do Senhor voltam-se para os justos e os seus ouvidos estão atentos ao seu grito de socorro;,,Sl,34,15
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Of David, <sup class=""footnote-marker"">a</sup><i class=""footnote"">Cf. <a class =""refLink"" href=""/I_Samuel.21.14"" data-ref=""I Samuel 21:14"">1 Sam. 21.14</a> ff.</i>when he feigned madness in the presence of Abimelech, who turned him out, and he left.<sup class=""endFootnote"">-a</sup><br>","Os justos clamam, o Senhor os ouve e os livra de todas as suas tribulações.",,Sl,34,17
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"On the third new moon after the Israelites had gone forth from the land of Egypt, on that very day, they entered the wilderness of Sinai.","vocês serão para mim um reino de sacerdotes e uma nação santa’. Essas são as palavras que você dirá aos israelitas"".",,Ex,19,6
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Then <a href=""/topics/the-tetragrammaton"" class=""namedEntityLink"" data-slug=""the-tetragrammaton"">יהוה</a> said to Moses, “You shall soon see what I will do to Pharaoh: he shall let them go because of a greater might; indeed, because of a greater might he shall drive them from his land.”","Eu os farei meu povo e serei o Deus de vocês. Então vocês saberão que eu sou o Senhor, o Deus de vocês, que os livra do trabalho imposto pelos egípcios.",,Ex,6,7
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Then Joseph came and reported to Pharaoh, saying, “My father and my brothers, with their flocks and herds and all that is theirs, have come from the land of Canaan and are now in the region of Goshen.”","O ano passou, e no ano seguinte voltaram a José, dizendo: ""Não temos como esconder de ti, meu senhor, que uma vez que a nossa prata acabou e os nossos rebanhos lhe pertencem, nada mais nos resta para oferecer, a não ser os nossos próprios corpos e as nossas terras.",,Gn,47,18
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"On the third new moon after the Israelites had gone forth from the land of Egypt, on that very day, they entered the wilderness of Sinai.","Agora, se me obedecerem fielmente e guardarem a minha aliança, vocês serão o meu tesouro pessoal dentre todas as nações. Embora toda a terra seja minha,",,Ex,19,5
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
" <a href=""/topics/the-tetragrammaton"" class=""namedEntityLink"" data-slug=""the-tetragrammaton"">יהוה</a> spoke to Moses, saying:","Pois a vida da carne está no sangue, e eu o dei a vocês para fazerem propiciação por si mesmos no altar; é o sangue que faz propiciação pela vida.",,Lv,17,11
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"Praise the L<small>ORD</small>, for He is good,<br>His steadfast love is eternal.",A pedra que os construtores rejeitaram tornou-se a pedra angular.,,Sl,118,22
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"“Who can believe what we have heard?<br>Upon whom has <sup class=""footnote-marker"">a</sup><i class=""footnote"">I.e., the vindication which the arm of the Lord effects.</i>the arm of the L<small>ORD</small>-<sup class=""endFootnote"">-a</sup> been revealed?","Por isso eu lhe darei uma porção entre os grandes, e ele dividirá os despojos com os fortes, porquanto ele derramou sua vida até à morte, e foi contado entre os transgressores. Pois ele carregou o pecado de muitos, e intercedeu pelos transgressores.",,Is,53,12
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"The word of the L<small>ORD</small> that came to Hosea son of Beeri, in the reigns of Kings Uzziah, Jotham, Ahaz, and Hezekiah of Judah, and in the reign of King Jeroboam son of Joash of Israel.<br>","Então o Senhor disse: ""Dê a ele o nome de Lo-Ami, pois vocês não são meu povo, e eu não sou seu Deus.",,Os,1,9
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"But a shoot shall grow out of the stump of Jesse,<br>A twig shall sprout from his stock.","O Espírito do Senhor repousará sobre ele, o Espírito que dá sabedoria e entendimento, o Espírito que traz conselho e poder, o Espírito que dá conhecimento e temor do Senhor.",,Is,11,2
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"In the second year of the reign of Nebuchadnezzar, Nebuchadnezzar had a dream; his spirit was agitated, <sup class=""footnote-marker"">a</sup><i class=""footnote"">Meaning of Heb. uncertain; others “and he could not.”</i>yet he was overcome by<sup class=""endFootnote"">-a</sup> sleep.","Enquanto estavas observando, uma pedra soltou-se, sem auxílio de mãos, atingiu a estátua nos pés de ferro e de barro e os esmigalhou.",,Dn,2,34
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
"My son, do not forget my teaching,<br>But let your mind retain my commandments;","Não terá medo da calamidade repentina nem da ruína que atinge os ímpios,",,Pv,3,25
textoSefaria,textoPortugues,textoOJB,bookAnc,chapterAnc,verseAnc
